Pay Date,-140 BPs,-120 BPs,-100 BPs,  -80  BPs,  -60  BPs,  -40 BPs,  -20 BPs,      0 BPs,    20 BPs,    40 BPs,    60 BPs,    80 BPs, 100 BPs, 120 BPs, 140 BPs
04/32,11.72,11.33,10.89,10.38,9.81,9.12,8.34,7.46,6.5,6.08,5.75,5.43,5.27,5.11,4.95
05/32,11.78,11.41,10.98,10.48,9.93,9.27,8.5,7.64,6.69,6.27,5.93,5.59,5.43,5.27,5.1
06/32,12.68,12.31,11.86,11.35,10.78,10.1,9.29,8.39,7.39,6.92,6.55,6.18,6,5.82,5.64
07/32,13.36,12.97,12.51,11.98,11.4,10.7,9.86,8.93,7.88,7.38,6.99,6.59,6.4,6.21,6.02
08/32,12.82,12.44,12,11.49,10.93,10.25,9.44,8.54,7.53,7.06,6.68,6.3,6.11,5.93,5.75
09/32,13.6,13.2,12.74,12.2,11.62,10.91,10.06,9.11,8.05,7.54,7.13,6.73,6.53,6.34,6.14
10/32,11.83,11.47,11.05,10.57,10.04,9.4,8.65,7.8,6.86,6.43,6.08,5.74,5.57,5.4,5.23
11/32,12.15,11.78,11.35,10.85,10.32,9.66,8.89,8.02,7.06,6.61,6.25,5.9,5.73,5.55,5.38
12/32,10.38,10.04,9.65,9.21,8.73,8.15,7.47,6.71,5.86,5.49,5.19,4.89,4.75,4.61,4.46
01/33,10.4,10.04,9.64,9.19,8.7,8.09,7.4,6.62,5.76,5.39,5.1,4.81,4.66,4.52,4.38
02/33,9.76,9.4,9.01,8.58,8.1,7.51,6.85,6.1,5.28,4.94,4.67,4.41,4.28,4.15,4.02
03/33,8.89,8.56,8.21,7.82,7.39,6.85,6.25,5.57,4.82,4.52,4.27,4.03,3.91,3.79,3.67
04/33,11.27,10.9,10.49,10.02,9.51,8.89,8.16,7.34,6.43,6.02,5.69,5.37,5.21,5.06,4.9
05/33,11.37,11.01,10.61,10.16,9.66,9.06,8.33,7.53,6.62,6.2,5.87,5.53,5.37,5.21,5.05
06/33,12.28,11.92,11.5,11.03,10.51,9.88,9.12,8.27,7.31,6.85,6.48,6.11,5.93,5.76,5.58
07/33,12.95,12.58,12.15,11.65,11.12,10.48,9.68,8.8,7.8,7.31,6.91,6.52,6.33,6.14,5.95
08/33,12.42,12.06,11.64,11.17,10.66,10.03,9.27,8.42,7.45,6.98,6.61,6.23,6.05,5.87,5.69
09/33,13.18,12.81,12.37,11.87,11.33,10.68,9.88,8.98,7.96,7.46,7.06,6.66,6.47,6.27,6.08
10/33,11.45,11.1,10.71,10.26,9.78,9.2,8.48,7.69,6.79,6.36,6.02,5.67,5.51,5.34,5.18
11/33,11.75,11.4,11,10.54,10.05,9.45,8.72,7.91,6.98,6.54,6.19,5.84,5.67,5.5,5.33
12/33,10.02,9.69,9.33,8.93,8.49,7.96,7.32,6.6,5.79,5.43,5.13,4.84,4.7,4.56,4.42
01/34,10.02,9.68,9.31,8.89,8.44,7.89,7.24,6.51,5.69,5.33,5.04,4.75,4.61,4.47,4.34
02/34,9.37,9.04,8.68,8.28,7.85,7.32,6.7,6,5.22,4.89,4.62,4.36,4.23,4.1,3.97
03/34,8.54,8.23,7.91,7.55,7.16,6.67,6.11,5.48,4.77,4.46,4.22,3.98,3.86,3.75,3.63
04/34,10.87,10.53,10.14,9.71,9.25,8.68,8,7.23,6.36,5.95,5.63,5.31,5.15,5,4.85
05/34,10.99,10.65,10.28,9.86,9.4,8.85,8.17,7.41,6.55,6.14,5.8,5.48,5.31,5.15,5
06/34,11.89,11.55,11.16,10.72,10.24,9.67,8.95,8.15,7.23,6.78,6.41,6.05,5.87,5.69,5.52
07/34,12.54,12.2,11.79,11.34,10.85,10.26,9.5,8.67,7.71,7.23,6.84,6.46,6.27,6.08,5.89
08/34,12.03,11.69,11.3,10.86,10.39,9.82,9.1,8.29,7.37,6.91,6.54,6.17,5.99,5.81,5.63
09/34,12.77,12.42,12.01,11.55,11.05,10.46,9.69,8.85,7.88,7.38,6.99,6.59,6.4,6.21,6.02
10/34,11.07,10.74,10.38,9.97,9.52,8.99,8.32,7.57,6.71,6.29,5.95,5.61,5.45,5.28,5.12
11/34,11.36,11.03,10.66,10.24,9.79,9.24,8.55,7.78,6.91,6.47,6.12,5.77,5.6,5.44,5.27
12/34,9.66,9.35,9.02,8.65,8.25,7.76,7.16,6.49,5.73,5.37,5.07,4.79,4.64,4.51,4.37
01/35,9.64,9.32,8.98,8.6,8.19,7.69,7.08,6.4,5.63,5.27,4.98,4.7,4.56,4.42,4.29
