Pay Date,-140 BPs,-120 BPs,-100 BPs,  -80  BPs,  -60  BPs,  -40 BPs,  -20 BPs,      0 BPs,    20 BPs,    40 BPs,    60 BPs,    80 BPs, 100 BPs, 120 BPs, 140 BPs
07/45,25.01,24.88,24.69,24.47,24.23,23.98,23.56,23.12,22.57,22.21,21.92,21.63,21.48,21.34,21.2
08/45,24.86,24.74,24.56,24.34,24.12,23.88,23.47,23.05,22.53,22.19,21.91,21.63,21.5,21.36,21.23
09/45,25.61,25.49,25.3,25.07,24.83,24.58,24.15,23.7,23.15,22.78,22.49,22.19,22.05,21.9,21.76
10/45,24.6,24.49,24.32,24.12,23.92,23.7,23.33,22.95,22.48,22.16,21.91,21.66,21.54,21.42,21.29
11/45,25.02,24.91,24.74,24.53,24.33,24.1,23.73,23.33,22.85,22.53,22.27,22.02,21.89,21.76,21.64
12/45,24,23.9,23.75,23.58,23.41,23.22,22.9,22.57,22.17,21.91,21.69,21.48,21.38,21.27,21.17
01/46,24.12,24.02,23.88,23.71,23.53,23.34,23.03,22.71,22.31,22.05,21.85,21.64,21.54,21.44,21.34
02/46,23.85,23.76,23.62,23.47,23.31,23.13,22.85,22.54,22.18,21.94,21.75,21.57,21.47,21.38,21.29
03/46,23.59,23.51,23.39,23.25,23.1,22.94,22.68,22.41,22.08,21.86,21.69,21.52,21.43,21.35,21.27
04/46,25.45,25.35,25.2,25.02,24.83,24.63,24.29,23.94,23.5,23.22,22.98,22.76,22.64,22.53,22.42
05/46,25.86,25.76,25.6,25.42,25.23,25.02,24.68,24.32,23.88,23.59,23.35,23.11,23,22.88,22.76
06/46,26.76,26.66,26.49,26.29,26.09,25.87,25.49,25.1,24.62,24.3,24.04,23.77,23.64,23.52,23.39
07/46,27.46,27.36,27.18,26.97,26.75,26.52,26.13,25.72,25.21,24.86,24.58,24.3,24.17,24.03,23.89
08/46,27.32,27.22,27.05,26.85,26.65,26.43,26.05,25.66,25.17,24.84,24.58,24.31,24.18,24.05,23.92
09/46,28.04,27.94,27.76,27.55,27.33,27.09,26.7,26.28,25.77,25.42,25.13,24.85,24.71,24.57,24.43
10/46,27.07,26.98,26.83,26.65,26.46,26.26,25.92,25.56,25.12,24.82,24.58,24.34,24.22,24.1,23.99
11/46,27.48,27.38,27.23,27.04,26.85,26.64,26.29,25.93,25.48,25.17,24.93,24.68,24.56,24.44,24.32
12/46,26.5,26.42,26.29,26.13,25.97,25.8,25.51,25.2,24.83,24.58,24.37,24.17,24.07,23.97,23.87
01/47,26.61,26.53,26.4,26.25,26.09,25.92,25.63,25.33,24.96,24.72,24.52,24.32,24.22,24.13,24.03
02/47,26.36,26.28,26.16,26.02,25.87,25.72,25.45,25.18,24.84,24.61,24.43,24.25,24.16,24.08,23.99
03/47,26.12,26.05,25.94,25.81,25.68,25.54,25.3,25.05,24.74,24.54,24.37,24.21,24.13,24.05,23.97
04/47,27.89,27.81,27.67,27.5,27.33,27.15,26.84,26.51,26.11,25.83,25.61,25.39,25.28,25.18,25.07
05/47,27.89,27.81,27.67,27.5,27.33,27.15,26.84,26.51,26.11,25.83,25.61,25.39,25.28,25.18,25.07
06/47,27.89,27.81,27.67,27.5,27.33,27.15,26.84,26.51,26.11,25.83,25.61,25.39,25.28,25.18,25.07
07/47,27.89,27.81,27.67,27.5,27.33,27.15,26.84,26.51,26.11,25.83,25.61,25.39,25.28,25.18,25.07
08/47,27.89,27.81,27.67,27.5,27.33,27.15,26.84,26.51,26.11,25.83,25.61,25.39,25.28,25.18,25.07
09/47,27.89,27.81,27.67,27.5,27.33,27.15,26.84,26.51,26.11,25.83,25.61,25.39,25.28,25.18,25.07
10/47,27.89,27.81,27.67,27.5,27.33,27.15,26.84,26.51,26.11,25.83,25.61,25.39,25.28,25.18,25.07
11/47,27.89,27.81,27.67,27.5,27.33,27.15,26.84,26.51,26.11,25.83,25.61,25.39,25.28,25.18,25.07
12/47,27.89,27.81,27.67,27.5,27.33,27.15,26.84,26.51,26.11,25.83,25.61,25.39,25.28,25.18,25.07
01/48,27.89,27.81,27.67,27.5,27.33,27.15,26.84,26.51,26.11,25.83,25.61,25.39,25.28,25.18,25.07
02/48,27.89,27.81,27.67,27.5,27.33,27.15,26.84,26.51,26.11,25.83,25.61,25.39,25.28,25.18,25.07
03/48,27.89,27.81,27.67,27.5,27.33,27.15,26.84,26.51,26.11,25.83,25.61,25.39,25.28,25.18,25.07
04/48,27.89,27.81,27.67,27.5,27.33,27.15,26.84,26.51,26.11,25.83,25.61,25.39,25.28,25.18,25.07
